"Date","Price","Open","High","Low","Vol.","Change %"
"10/12/2025","98.82","98.96","99.48","98.66","","-0.16%"
"10/05/2025","98.98","97.96","99.56","97.96","","1.28%"
"09/28/2025","97.72","98.17","98.18","97.46","","-0.44%"
"09/21/2025","98.15","97.65","98.61","97.20","0.00K","0.52%"
"09/14/2025","97.64","97.63","97.81","96.22","","0.10%"
"09/07/2025","97.55","97.79","98.09","97.25","","-0.22%"
"08/31/2025","97.77","97.83","98.64","97.43","","0.00%"
"08/24/2025","97.77","97.72","98.73","97.69","","0.06%"
"08/17/2025","97.72","97.79","98.83","97.56","","-0.14%"
"08/10/2025","97.85","98.24","99.32","97.63","","-0.33%"
"08/03/2025","98.18","98.65","99.07","97.94","","-0.97%"
"07/27/2025","99.14","97.58","100.26","97.49","","1.53%"
"07/20/2025","97.64","98.36","98.51","97.11","","-0.85%"
"07/13/2025","98.48","97.96","98.95","97.71","","0.64%"
"07/06/2025","97.85","96.96","97.96","96.89","","0.92%"
"06/29/2025","96.96","97.18","97.42","96.38","0.01K","-0.45%"
"06/22/2025","97.40","99.09","99.42","97.00","0.00K","-1.32%"
"06/15/2025","98.71","98.26","99.16","97.68","0.00K","0.53%"
"06/08/2025","98.18","99.20","99.39","97.60","0.00K","-1.01%"
"06/01/2025","99.19","99.41","99.42","98.35","0.00K","-0.14%"
"05/25/2025","99.33","99.09","100.54","98.69","0.00K","0.22%"
"05/18/2025","99.11","100.90","100.90","99.05","0.00K","-1.96%"
"05/11/2025","101.09","100.69","101.98","100.27","0.00K","0.75%"
"05/04/2025","100.34","100.00","100.86","99.17","0.00K","0.31%"
"04/27/2025","100.03","99.61","100.38","98.90","0.00K","0.56%"
"04/20/2025","99.47","99.08","99.94","97.92","0.00K","0.10%"
"04/13/2025","99.38","100.02","100.28","99.17","0.00K","-0.73%"
"04/06/2025","100.10","103.07","103.54","99.01","0.00K","-2.84%"
"03/30/2025","103.02","104.01","104.39","101.27","0.00K","-0.98%"
"03/23/2025","104.04","104.15","104.68","103.84","0.01K","-0.04%"
"03/16/2025","104.09","103.74","104.22","103.20","0.00K","0.36%"
"03/09/2025","103.72","103.90","104.09","103.22","0.00K","-0.12%"
"03/02/2025","103.84","107.56","107.56","103.46","0.00K","-3.51%"
"02/23/2025","107.61","106.64","107.66","106.13","0.00K","0.94%"
"02/16/2025","106.61","106.79","107.38","106.33","0.00K","-0.09%"
"02/09/2025","106.71","108.10","108.52","106.57","0.00K","-1.23%"
"02/02/2025","108.04","108.50","109.88","107.30","0.00K","-0.30%"
"01/26/2025","108.37","107.46","108.57","106.97","0.00K","0.86%"
"01/19/2025","107.44","109.40","109.47","107.22","0.00K","-1.74%"
"01/12/2025","109.35","109.64","110.18","108.60","0.00K","-0.28%"
"01/05/2025","109.65","108.92","109.97","107.75","0.00K","0.64%"
"12/29/2024","108.95","108.01","109.53","107.74","","0.88%"
"12/22/2024","108.00","107.82","108.30","107.68","","0.35%"
"12/15/2024","107.62","106.94","108.54","106.70","","0.58%"
