date,consumer_loans_banks,consumer_loans_credit_cards,deposits_banks,federal_funds_effective_rate,gas_all_grades_all_formulations,gas_all_grades_conventional,gas_all_grades_reformulated,gas_regular_all_formulations,gas_regular_conventional,gas_regular_reformulated,gas_midgrade_all_formulations,gas_midgrade_conventional,gas_midgrade_reformulated,gas_premium_all_formulations,gas_premium_conventional,gas_premium_reformulated,diesel_no2_retail,diesel_no2_ultra_low_sulfur,diesel_no2_low_sulfur,liabilities_and_capital,prime_loan_rate,unemployment_claims
2000-06-28,211.4984,211.4984,3576.1407,6.53,,,,,,,,,,,,,,,,6.983,9.5,
2000-07-01,,,,,,,,,,,,,,,,,,,,,,281000.0
2000-07-03,,,,,1.661,1.642,1.716,1.625,1.606,1.666,1.707,1.682,1.774,1.792,1.772,1.847,1.453,,,,,
2000-07-05,212.0107,212.0107,3625.4161,6.85,,,,,,,,,,,,,,,,6.159,9.5,
2000-07-08,,,,,,,,,,,,,,,,,,,,,,293000.0
2000-07-10,,,,,1.63,1.608,1.709,1.593,1.571,1.651,1.682,1.654,1.769,1.769,1.745,1.843,1.449,,,,,
2000-07-12,210.8742,210.8742,3613.463,6.44,,,,,,,,,,,,,,,,4.981,9.5,
2000-07-15,,,,,,,,,,,,,,,,,,,,,,303000.0
2000-07-17,,,,,1.586,1.561,1.686,1.546,1.521,1.62,1.64,1.61,1.749,1.733,1.708,1.826,1.435,,,,,
2000-07-19,212.5366,212.5366,3619.8681,6.5,,,,,,,,,,,,,,,,5.333,9.5,
2000-07-22,,,,,,,,,,,,,,,,,,,,,,300000.0
2000-07-24,,,,,1.562,1.539,1.663,1.52,1.499,1.59,1.619,1.591,1.728,1.711,1.687,1.807,1.424,,,,,
2000-07-26,211.4714,211.4714,3639.4312,6.5,,,,,,,,,,,,,,,,4.633,9.5,
2000-07-29,,,,,,,,,,,,,,,,,,,,,,298000.0
2000-07-31,,,,,1.514,1.489,1.631,1.471,1.447,1.553,1.573,1.541,1.699,1.668,1.641,1.78,1.408,,,,,
2000-08-02,212.0875,212.0875,3634.6346,6.49,,,,,,,,,,,,,,,,5.106,9.5,
2000-08-05,,,,,,,,,,,,,,,,,,,,,,306000.0
2000-08-07,,,,,1.504,1.479,1.619,1.462,1.437,1.54,1.564,1.532,1.686,1.656,1.627,1.77,1.41,,,,,
2000-08-09,214.1819,214.1819,3650.4553,6.45,,,,,,,,,,,,,,,,4.791,9.5,
2000-08-12,,,,,,,,,,,,,,,,,,,,,,315000.0
